物品名称,金,木,水,火,土
air ,4,9,11,11,6
stone ,9,6,11,9,6
granite ,1,2,7,10,10
polished_granite ,3,8,5,11,16
diorite ,6,9,4,5,15
polished_diorite ,2,3,3,4,11
andesite ,5,4,4,2,11
polished_andesite ,2,8,8,1,13
grass_block ,3,7,12,11,7
dirt ,11,2,4,6,11
coarse_dirt ,6,6,4,16,10
podzol ,6,7,5,10,16
cobblestone ,6,9,6,7,12
oak_planks ,5,9,4,8,1
spruce_planks ,1,9,4,5,6
birch_planks ,8,16,5,8,7
jungle_planks ,8,7,6,10,10
acacia_planks ,1,11,1,4,9
dark_oak_planks ,6,16,3,11,3
oak_sapling ,11,15,5,10,8
spruce_sapling ,5,16,4,8,11
birch_sapling ,6,12,6,1,9
jungle_sapling ,11,15,6,5,7
acacia_sapling ,10,11,8,3,10
dark_oak_sapling ,7,15,7,10,16
bedrock ,1,7,4,11,5
sand ,11,9,10,11,15
red_sand ,1,5,2,10,13
gravel ,3,5,4,3,12
gold_ore ,20,7,9,11,15
iron_ore ,21,5,2,11,16
coal_ore ,12,5,10,3,14
oak_log ,5,19,3,4,10
spruce_log ,6,17,7,3,7
birch_log ,2,13,2,4,13
jungle_log ,2,18,9,7,10
acacia_log ,3,20,4,9,10
dark_oak_log ,11,12,1,11,7
stripped_oak_log ,3,16,1,6,14
stripped_spruce_log ,6,19,10,2,6
stripped_birch_log ,6,19,6,10,14
stripped_jungle_log ,1,16,10,5,9
stripped_acacia_log ,4,14,11,8,13
stripped_dark_oak_log ,11,12,4,2,13
stripped_oak_wood ,9,14,11,2,11
stripped_spruce_wood ,10,12,5,6,14
stripped_birch_wood ,7,15,10,3,14
stripped_jungle_wood ,7,16,9,10,9
stripped_acacia_wood ,10,17,5,8,14
stripped_dark_oak_wood ,6,13,2,1,7
oak_wood ,10,18,3,8,16
spruce_wood ,10,21,7,7,13
birch_wood ,6,21,11,7,16
jungle_wood ,5,21,6,8,15
acacia_wood ,6,15,4,4,15
dark_oak_wood ,5,21,3,11,9
oak_leaves ,8,13,10,2,6
spruce_leaves ,11,3,3,8,5
birch_leaves ,8,11,2,3,5
jungle_leaves ,3,8,7,6,13
acacia_leaves ,8,8,5,6,11
dark_oak_leaves ,1,5,7,11,7
sponge ,1,1,27,11,3
wet_sponge ,3,9,42,4,5
glass ,6,5,1,14,15
lapis_ore ,17,9,3,2,15
lapis_block ,21,4,4,5,26
dispenser ,21,3,6,7,16
sandstone ,10,7,4,11,10
chiseled_sandstone ,9,6,6,7,15
cut_sandstone ,9,6,10,6,16
note_block ,14,16,10,5,12
powered_rail ,36,11,11,1,8
detector_rail ,33,16,6,8,12
sticky_piston ,23,15,6,8,17
cobweb ,1,6,6,4,9
grass ,2,5,5,4,5
fern ,7,7,6,5,8
dead_bush ,8,4,9,10,2
seagrass ,10,8,2,4,12
sea_pickle ,8,8,7,5,10
piston ,22,13,2,9,20
white_wool ,2,17,11,8,3
orange_wool ,2,15,8,6,6
magenta_wool ,9,19,10,6,13
light_blue_wool ,2,22,10,9,5
yellow_wool ,1,19,9,4,9
lime_wool ,9,19,10,11,6
pink_wool ,2,19,3,6,9
gray_wool ,5,14,9,8,4
light_gray_wool ,3,15,3,7,6
cyan_wool ,2,14,2,8,7
purple_wool ,11,15,9,3,3
blue_wool ,10,15,1,3,7
brown_wool ,7,23,5,11,11
green_wool ,5,18,1,8,3
red_wool ,10,13,11,8,9
black_wool ,7,22,2,2,12
dandelion ,7,4,1,6,7
poppy ,8,5,8,3,11
